NAME_0,run.001_gap.0.01_flip_priority.FALSE_s.000_sum,run.002_gap.0.01_flip_priority.FALSE_s.100_sum,run.003_gap.0.01_flip_priority.FALSE_s.010_sum,run.005_gap.0.01_flip_priority.FALSE_s.001_sum,run.006_gap.0.01_flip_priority.FALSE_s.101_sum,run.007_gap.0.01_flip_priority.FALSE_s.011_sum,run.009_gap.0.01_flip_priority.TRUE_s.000_sum,run.010_gap.0.01_flip_priority.TRUE_s.100_sum,run.011_gap.0.01_flip_priority.TRUE_s.010_sum,run.012_gap.0.01_flip_priority.TRUE_s.110_sum,run.013_gap.0.01_flip_priority.TRUE_s.001_sum,run.014_gap.0.01_flip_priority.TRUE_s.101_sum,run.015_gap.0.01_flip_priority.TRUE_s.011_sum,run.101_gap.0.05_flip_priority.FALSE_s.000_sum,run.102_gap.0.05_flip_priority.FALSE_s.100_sum,run.103_gap.0.05_flip_priority.FALSE_s.010_sum,run.104_gap.0.05_flip_priority.FALSE_s.110_sum,run.105_gap.0.05_flip_priority.FALSE_s.001_sum,run.106_gap.0.05_flip_priority.FALSE_s.101_sum,run.107_gap.0.05_flip_priority.FALSE_s.011_sum,run.108_gap.0.05_flip_priority.FALSE_s.111_sum,run.109_gap.0.05_flip_priority.TRUE_s.000_sum,run.110_gap.0.05_flip_priority.TRUE_s.100_sum,run.111_gap.0.05_flip_priority.TRUE_s.010_sum,run.112_gap.0.05_flip_priority.TRUE_s.110_sum,run.113_gap.0.05_flip_priority.TRUE_s.001_sum,run.114_gap.0.05_flip_priority.TRUE_s.101_sum,run.115_gap.0.05_flip_priority.TRUE_s.011_sum,run.116_gap.0.05_flip_priority.TRUE_s.111_sum,run.201_gap.0.03_flip_priority.FALSE_s.000_sum,run.202_gap.0.03_flip_priority.FALSE_s.100_sum,run.203_gap.0.03_flip_priority.FALSE_s.010_sum,run.204_gap.0.03_flip_priority.FALSE_s.110_sum,run.205_gap.0.03_flip_priority.FALSE_s.001_sum,run.206_gap.0.03_flip_priority.FALSE_s.101_sum,run.207_gap.0.03_flip_priority.FALSE_s.011_sum,run.209_gap.0.03_flip_priority.TRUE_s.000_sum,run.210_gap.0.03_flip_priority.TRUE_s.100_sum,run.211_gap.0.03_flip_priority.TRUE_s.010_sum,run.212_gap.0.03_flip_priority.TRUE_s.110_sum,run.213_gap.0.03_flip_priority.TRUE_s.001_sum,run.214_gap.0.03_flip_priority.TRUE_s.101_sum,run.215_gap.0.03_flip_priority.TRUE_s.011_sum
Chile,2232,2585,2341,2411,2538,2388,2232,2585,2341,2531,2411,2517,2417,2232,2585,2341,2327,2411,2413,2404,2400,2232,2585,2341,2543,2411,2556,2411,2411,2232,2585,2341,2443,2411,2479,2400,2232,2585,2341,2532,2411,2546,2411
China,26439,26133,27694,28326,26514,27819,26439,26133,27694,26810,28326,26850,27630,26439,26133,27694,27676,28326,28316,27701,27700,26439,26133,27694,26522,28326,26374,27629,27629,26439,26133,27694,27404,28326,27418,27783,26439,26133,27694,26577,28326,26489,27545
Colombia,3117,3183,3424,3477,3194,3471,3117,3183,3424,3250,3477,3248,3467,3117,3183,3424,3415,3477,3474,3453,3452,3117,3183,3424,3196,3477,3167,3457,3457,3117,3183,3424,3387,3477,3341,3460,3117,3183,3424,3215,3477,3189,3461
Costa Rica,148,184,164,175,179,163,148,184,164,165,175,178,166,148,184,164,164,175,173,160,160,148,184,164,167,175,178,161,161,148,184,164,164,175,173,164,148,184,164,169,175,179,162
Côte d'Ivoire,1005,846,1074,965,892,1033,1005,846,1074,1026,965,915,940,1005,846,1074,1073,965,966,998,998,1005,846,1074,918,965,888,970,970,1005,846,1074,1071,965,959,1012,1005,846,1074,954,965,893,962
Croatia,174,194,211,228,190,213,174,194,211,209,228,214,235,174,194,211,211,228,227,210,210,174,194,211,203,228,194,210,210,174,194,211,211,228,228,208,174,194,211,207,228,190,212
Cuba,241,241,241,244,241,242,241,241,241,241,244,241,241,241,241,241,241,244,244,241,241,241,241,241,241,244,241,241,241,241,241,241,241,244,241,241,241,241,241,241,244,241,241
Cyprus,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Czech Republic,167,169,182,227,170,177,167,169,182,178,227,198,185,167,169,182,182,227,225,178,180,167,169,182,174,227,168,179,179,167,169,182,179,227,223,177,167,169,182,176,227,169,183
Democratic Republic of the Congo,6760,6520,6785,7261,6685,7213,6760,6520,6785,6651,7261,6791,7126,6760,6520,6785,6779,7261,7258,7184,7182,6760,6520,6785,6616,7261,6605,7155,7155,6760,6520,6785,6671,7261,7073,7198,6760,6520,6785,6642,7261,6668,7121
Denmark,44,130,63,52,57,61,44,130,63,67,52,47,51,44,130,63,63,52,53,56,56,44,130,63,81,52,76,57,57,44,130,63,64,52,48,58,44,130,63,73,52,61,56
