NAME_0,run.001_gap.0.01_flip_priority.FALSE_s.000_sum,run.002_gap.0.01_flip_priority.FALSE_s.100_sum,run.003_gap.0.01_flip_priority.FALSE_s.010_sum,run.005_gap.0.01_flip_priority.FALSE_s.001_sum,run.006_gap.0.01_flip_priority.FALSE_s.101_sum,run.007_gap.0.01_flip_priority.FALSE_s.011_sum,run.009_gap.0.01_flip_priority.TRUE_s.000_sum,run.010_gap.0.01_flip_priority.TRUE_s.100_sum,run.011_gap.0.01_flip_priority.TRUE_s.010_sum,run.012_gap.0.01_flip_priority.TRUE_s.110_sum,run.013_gap.0.01_flip_priority.TRUE_s.001_sum,run.014_gap.0.01_flip_priority.TRUE_s.101_sum,run.015_gap.0.01_flip_priority.TRUE_s.011_sum,run.101_gap.0.05_flip_priority.FALSE_s.000_sum,run.102_gap.0.05_flip_priority.FALSE_s.100_sum,run.103_gap.0.05_flip_priority.FALSE_s.010_sum,run.104_gap.0.05_flip_priority.FALSE_s.110_sum,run.105_gap.0.05_flip_priority.FALSE_s.001_sum,run.106_gap.0.05_flip_priority.FALSE_s.101_sum,run.107_gap.0.05_flip_priority.FALSE_s.011_sum,run.108_gap.0.05_flip_priority.FALSE_s.111_sum,run.109_gap.0.05_flip_priority.TRUE_s.000_sum,run.110_gap.0.05_flip_priority.TRUE_s.100_sum,run.111_gap.0.05_flip_priority.TRUE_s.010_sum,run.112_gap.0.05_flip_priority.TRUE_s.110_sum,run.113_gap.0.05_flip_priority.TRUE_s.001_sum,run.114_gap.0.05_flip_priority.TRUE_s.101_sum,run.115_gap.0.05_flip_priority.TRUE_s.011_sum,run.116_gap.0.05_flip_priority.TRUE_s.111_sum
Greece,326,402,485,473,402,472,326,402,485,449,473,413,492,326,402,485,492,473,474,464,465,326,402,485,409,473,400,472,472
Guatemala,324,312,342,370,320,339,324,312,342,330,370,328,346,324,312,342,341,370,369,342,340,324,312,342,327,370,316,342,342
Guinea,861,751,1182,1015,831,1137,861,751,1182,905,1015,861,979,861,751,1182,1184,1015,1005,1096,1096,861,751,1182,834,1015,814,1051,1051
Guinea-Bissau,76,41,105,43,42,56,76,41,105,59,43,41,44,76,41,105,104,43,44,49,49,76,41,105,45,43,40,49,49
Guyana,412,307,400,460,366,456,412,307,400,316,460,413,463,412,307,400,404,460,461,461,461,412,307,400,310,460,332,462,462
Haiti,35,27,36,36,27,36,35,27,36,30,36,28,34,35,27,36,34,36,36,36,36,35,27,36,28,36,27,36,36
Honduras,376,353,415,368,355,400,376,353,415,389,368,349,386,376,353,415,409,368,367,396,397,376,353,415,373,368,356,391,391
Hong Kong,2,4,2,2,4,2,2,4,2,2,2,3,2,2,4,2,2,2,2,2,2,2,4,2,3,2,4,3,3
Hungary,230,582,297,286,352,287,230,582,297,305,286,317,286,230,582,297,298,286,286,286,286,230,582,297,429,286,443,286,286
Iceland,228,233,230,319,239,265,228,233,230,231,319,237,312,228,233,230,230,319,319,298,296,228,233,230,228,319,229,302,302
India,9257,9878,9356,9733,9759,9393,9257,9878,9356,9452,9733,9705,9505,9257,9878,9356,9360,9733,9725,9398,9398,9257,9878,9356,9651,9733,9809,9395,9395
Indonesia,4769,4746,5000,5199,4708,5073,4769,4746,5000,4849,5199,4729,5108,4769,4746,5000,4983,5199,5185,5102,5107,4769,4746,5000,4758,5199,4692,5096,5096
