GID_0,NAME_0,Country.Name,MeanIndex,SDIndex,RS,Comment,NAME_IDX
LVA,Latvia,Latvia,0.657909008,0.126624797,0,,134
MAC,Macao,"Macao SAR, China",0.771405678,0.245011911,0,,135
MAF,Saint-Martin,Saint-Martin,1.195386505,0.066634758,1,,136
MAR,Morocco,Morocco,-0.269411407,0.111724212,0,,137
MCO,Monaco,Monaco,0.985797274,0.075374893,0,,138
MDA,Moldova,Moldova,-0.379148958,0.128376693,0,,139
MDG,Madagascar,Madagascar,-0.499809729,0.26492778,0,,140
MDV,Maldives,Maldives,-0.175250084,0.263823441,0,,141
MEX,Mexico,Mexico,-0.151751197,0.121675929,0,,142
MHL,Marshall Islands,Marshall Islands,-0.060376659,0.145267633,0,,143
MKD,Macedonia,North Macedonia,-0.210647638,0.19492047,0,,144
MLI,Mali,Mali,-0.487372514,0.28058947,0,,145
MLT,Malta,Malta,1.146983208,0.083904161,0,,146
MMR,Myanmar,Myanmar,-1.459643001,0.302924846,0,,147
MNE,Montenegro,Montenegro,0.016290961,0.133950837,0,,148
MNG,Mongolia,Mongolia,-0.048965539,0.140927391,0,,149
MNP,Northern Mariana Islands,Northern Mariana Islands,1.302706737,0.086868309,1,,150
MOZ,Mozambique,Mozambique,-0.431406893,0.18237932,0,,151
MRT,Mauritania,Mauritania,-0.630058372,0.262519018,0,,152
MSR,Montserrat,Montserrat,1.465323746,0.100665387,1,,153
MTQ,Martinique,Martinique,0.848594554,0.113121221,0,,154
MUS,Mauritius,Mauritius,0.752536123,0.081543172,0,,155
MWI,Malawi,Malawi,-0.371358601,0.086276693,0,,156
MYS,Malaysia,Malaysia,0.353874051,0.085059466,0,,157
MYT,Mayotte,Mayotte,1.195386505,0.066634758,1,,158
NAM,Namibia,Namibia,0.320396717,0.081852661,0,,159
NCL,New Caledonia,New Caledonia,1.195386505,0.066634758,1,,160
NER,Niger,Niger,-0.644590502,0.097774316,0,,161
NFK,Norfolk Island,Norfolk Island,1.591281785,0.033468954,1,,162
NGA,Nigeria,Nigeria,-1.119623335,0.074989403,0,,163
NIC,Nicaragua,Nicaragua,-0.543267869,0.115275257,0,,164
NIU,Niue,Niue,-0.585517726,0.174745849,0,,165
NLD,Netherlands,Netherlands,1.701882323,0.074456743,0,,166
NOR,Norway,Norway,1.731312725,0.052122365,0,,167
NPL,Nepal,Nepal,-0.759828915,0.191420767,0,,168
NRU,Nauru,Nauru,0.381502773,0.520554366,0,,169
NZL,New Zealand,New Zealand,1.785103708,0.056710258,0,,170
OMN,Oman,Oman,0.253003231,0.106751385,0,,171
PAK,Pakistan,Pakistan,-0.997449286,0.117829418,0,,172
PAN,Panama,Panama,0.128639631,0.070020029,0,,173
PCN,Pitcairn Islands,Pitcairn Islands,1.465323746,0.100665387,1,,174
PER,Peru,Peru,-0.262079283,0.096832533,0,,175
PHL,Philippines,Philippines,-0.369574412,0.157678554,0,,176
PLW,Palau,Palau,0.567599293,0.426970427,0,,177
PNG,Papua New Guinea,Papua New Guinea,-0.611750633,0.110845239,0,,178
POL,Poland,Poland,0.720354007,0.123416018,0,,179
PRI,Puerto Rico,Puerto Rico,0.705576599,0.184884183,0,,180
PRK,North Korea,"Korea, Dem. People’s Rep.",-1.531651857,0.104418506,0,,181
PRT,Portugal,Portugal,1.094843909,0.127511975,0,,182
PRY,Paraguay,Paraguay,-0.677137732,0.182300236,0,,183
PSE,Palestina,West Bank and Gaza,-0.736368665,0.125602305,0,,184
PYF,French Polynesia,French Polynesia,1.195386505,0.066634758,1,,185
QAT,Qatar,Qatar,0.443714669,0.163699207,0,,186
REU,Reunion,Reunion,0.916198306,0.053333708,0,,187
ROU,Romania,Romania,0.088868333,0.109038009,0,,188
RUS,Russia,Russian Federation,-0.719481941,0.057298636,0,,189
RWA,Rwanda,Rwanda,-0.520916444,0.447639282,0,,190
SAU,Saudi Arabia,Saudi Arabia,-0.338640161,0.068975102,0,,191
SDN,Sudan,Sudan,-1.554712889,0.075595936,0,,192
SEN,Senegal,Senegal,-0.173153167,0.123427711,0,,193
SGP,Singapore,Singapore,1.513287438,0.066750611,0,,194
SGS,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,1.465323746,0.100665387,1,,195
SHN,Saint Helena,Saint Helena,1.465323746,0.100665387,1,,196
SJM,Svalbard and Jan Mayen,Svalbard and Jan Mayen,1.731312725,0.052122365,1,,197
SLB,Solomon Islands,Solomon Islands,-0.394110051,0.348947365,0,,198
SLE,Sierra Leone,Sierra Leone,-0.834225038,0.229589686,0,,199
SLV,El Salvador,El Salvador,-0.201389108,0.10405434399999999,0,,200
SMR,San Marino,San Marino,1.066786425,0.043286079,0,,201
SOM,Somalia,Somalia,-2.15989745,0.16087472,0,,202
SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon,1.195386505,0.066634758,1,,203
SRB,Serbia,Serbia,-0.345103018,0.383786942,0,,204
SSD,South Sudan,South Sudan,-1.687499952,0.421300253,0,,205
STP,São Tomé and Príncipe,Sao Tome and Principe,-0.232016206,0.153436446,0,,206
SUR,Suriname,Suriname,-0.066205411,0.075372512,0,,207
SVK,Slovakia,Slovak Republic,0.709484137,0.090351205,0,,208
SVN,Slovenia,Slovenia,0.969547337,0.073834406,0,,209
SWE,Sweden,Sweden,1.749623959,0.047643189,0,,210
SWZ,Swaziland,Eswatini,-0.595562094,0.083857579,0,,211
SXM,Sint Maarten,Sint Maarten,1.701882323,0.074456743,1,,212
SYC,Seychelles,Seychelles,0.230900263,0.116496253,0,,213
SYR,Syria,Syrian Arab Republic,-1.244601933,0.462276051,0,,214
TCA,Turks and Caicos Islands,Turks and Caicos Islands,1.465323746,0.100665387,1,,215
TCD,Chad,Chad,-1.293251888,0.158200182,0,,216
TGO,Togo,Togo,-0.85882277,0.118643656,0,,217
THA,Thailand,Thailand,-0.137351267,0.238765866,0,,218
TJK,Tajikistan,Tajikistan,-1.1996825,0.134855164,0,,219
TKL,Tokelau,Tokelau,1.785103708,0.056710258,1,,220
TKM,Turkmenistan,Turkmenistan,-1.341821771,0.110100928,0,,221
TLS,Timor-Leste,Timor-Leste,-0.724435903,0.391899018,0,,222
TON,Tonga,Tonga,-0.076516096,0.231274292,0,,223
TTO,Trinidad and Tobago,Trinidad and Tobago,0.221725027,0.133421902,0,,224
TUN,Tunisia,Tunisia,-0.157096211,0.084752325,0,,225
TUR,Turkey,Turkey,-0.172057423,0.158537932,0,,226
TUV,Tuvalu,Tuvalu,0.366089802,0.315488218,0,,227
TWN,Taiwan,"Taiwan, China",0.928071236,0.118419157,0,,228
TZA,Tanzania,Tanzania,-0.441310488,0.069078982,0,,229
UGA,Uganda,Uganda,-0.617491613,0.059818019,0,,230
UKR,Ukraine,Ukraine,-0.625381516,0.12277221,0,,231
UMI,United States Minor Outlying Islands,United States Minor Outlying Islands,1.302706737,0.086868309,1,,232
URY,Uruguay,Uruguay,0.782663453,0.075857702,0,,233
USA,United States,United States,1.302706737,0.086868309,0,,234
UZB,Uzbekistan,Uzbekistan,-1.283247073,0.150366908,0,,235
VAT,Vatican City,Vatican City,0.62644069,0.142840073,1,,236
VCT,Saint Vincent and the Grenadines,St. Vincent and the Grenadines,0.70595183,0.176801834,0,,237
