Country.Name,Country.Code,MeanIndex,SDIndex,RS,Comment
Turkey,TUR,-0.172057423,0.158537932,0,
Turkmenistan,TKM,-1.341821771,0.110100928,0,
Tuvalu,TUV,0.366089802,0.315488218,0,
Uganda,UGA,-0.617491613,0.059818019,0,
Ukraine,UKR,-0.625381516,0.12277221,0,
United Arab Emirates,ARE,0.536988341,0.097724046,0,
United Kingdom,GBR,1.465323746,0.100665387,0,
United States,USA,1.302706737,0.086868309,0,
Uruguay,URY,0.782663453,0.075857702,0,
Uzbekistan,UZB,-1.283247073,0.150366908,0,
Vanuatu,VUT,0.173142073,0.157967911,0,
"Venezuela, RB",VEN,-1.162393319,0.33032349,0,
Vietnam,VNM,-0.493039649,0.080790605,0,
Virgin Islands (U.S.),VIR,0.837025347,0.075587237,0,
West Bank and Gaza,PSE,-0.736368665,0.125602305,0,
"Yemen, Rep.",YEM,-1.280099868,0.33862123,0,
Zambia,ZMB,-0.361168664,0.107558286,0,
Zimbabwe,ZWE,-1.320524975,0.292485349,0,
Åland,ALA,1.846033073,0.074677986,1,
French Southern Territories,ATF,1.195386505,0.066634758,1,
"Bonaire, Sint Eustatius and Saba",BES,1.701882323,0.074456743,1,
Saint-Barthélemy,BLM,1.195386505,0.066634758,1,
Bouvet Island,BVT,1.731312725,0.052122365,1,
Cocos Islands,CCK,1.591281785,0.033468954,1,
Curaçao,CUW,1.701882323,0.074456743,1,
Christmas Island,CXR,1.591281785,0.033468954,1,
Falkland Islands,FLK,1.465323746,0.100665387,1,
Faroe Islands,FRO,1.793095478,0.073467457,1,
Guernsey,GGY,1.465323746,0.100665387,1,
Gibraltar,GIB,1.465323746,0.100665387,1,
Guadeloupe,GLP,1.195386505,0.066634758,1,
Heard Island and McDonald Islands,HMD,1.591281785,0.033468954,1,
Isle of Man,IMN,1.465323746,0.100665387,1,
British Indian Ocean Territory,IOT,1.465323746,0.100665387,1,
Saint-Martin,MAF,1.195386505,0.066634758,1,
Northern Mariana Islands,MNP,1.302706737,0.086868309,1,
Montserrat,MSR,1.465323746,0.100665387,1,
Mayotte,MYT,1.195386505,0.066634758,1,
New Caledonia,NCL,1.195386505,0.066634758,1,
Norfolk Island,NFK,1.591281785,0.033468954,1,
Pitcairn Islands,PCN,1.465323746,0.100665387,1,
French Polynesia,PYF,1.195386505,0.066634758,1,
South Georgia and the South Sandwich Islands,SGS,1.465323746,0.100665387,1,
Saint Helena,SHN,1.465323746,0.100665387,1,
Svalbard and Jan Mayen,SJM,1.731312725,0.052122365,1,
Saint Pierre and Miquelon,SPM,1.195386505,0.066634758,1,
Sint Maarten,SXM,1.701882323,0.074456743,1,
Turks and Caicos Islands,TCA,1.465323746,0.100665387,1,
Tokelau,TKL,1.785103708,0.056710258,1,
United States Minor Outlying Islands,UMI,1.302706737,0.086868309,1,
Vatican City,VAT,0.62644069,0.142840073,1,
British Virgin Islands,VGB,1.465323746,0.100665387,1,
Wallis and Futuna,WLF,1.195386505,0.066634758,1,
Akrotiri and Dhekelia,XAD,1.465323746,0.100665387,1,
Clipperton Island,XCL,1.195386505,0.066634758,1,
Northern Cyprus,XNC,1.001205278,0.089303096,1,
Paracel Islands,XPI,-0.509329252,0.08034825,1,
Western Sahara,ESH,-0.269411407,0.111724212,1,Morocco
Kosovo,XKO,-0.345103018,0.383786942,1,Serbia
Spratly Islands,XSP,-0.509329252,0.08034825,1,China
